student_id,name,branch,guardian_contact,mentor_id,rolling_attendance_90d,overall_avg_score,max_attempts_overall,avg_score_Mathematics-I,avg_score_Physics,avg_score_Programming,amount_due,amount_paid,status,overdue_days,risk_score,risk_reasons,risk_band
2025,Hemani Ben,Electrical,9876540025,1022,96.66666666666667,79.58555555555556,3,78.81333333333333,92.62333333333333,67.32000000000001,150000,150000,Paid,28,60,"Exhausted attempts for at least one subject, Attempts limit reached for at least one subject, Overdue fees (1-30 days)",Amber
2026,Hredhaan Yadav,Mechanical,9876540026,1028,94.44444444444444,72.78555555555555,3,80.61,77.84333333333333,59.90333333333333,150000,150000,Paid,15,60,"Exhausted attempts for at least one subject, Attempts limit reached for at least one subject, Overdue fees (1-30 days)",Amber
2027,Ranveer Gulati,Computer Science,9876540027,1006,97.77777777777777,62.99222222222222,3,85.14,75.14999999999999,28.686666666666667,150000,150000,Paid,68,75,"Exhausted attempts for at least one subject, Attempts limit reached for at least one subject, Overdue fees (31-90 days)",Amber
2028,Udyati Baria,Electronics,9876540028,1028,97.77777777777777,61.904444444444444,3,37.45333333333333,72.93666666666667,75.32333333333334,150000,150000,Paid,42,75,"Exhausted attempts for at least one subject, Attempts limit reached for at least one subject, Overdue fees (31-90 days)",Amber
2029,David Patel,Electronics,9876540029,1017,96.66666666666667,64.63444444444445,3,86.94666666666667,32.809999999999995,74.14666666666666,150000,150000,Paid,15,60,"Exhausted attempts for at least one subject, Attempts limit reached for at least one subject, Overdue fees (1-30 days)",Amber
2030,Dalbir Chaudhuri,Electronics,9876540030,1038,93.33333333333333,74.33666666666666,3,68.21,77.39999999999999,77.39999999999999,150000,150000,Paid,72,75,"Exhausted attempts for at least one subject, Attempts limit reached for at least one subject, Overdue fees (31-90 days)",Amber
2031,Aarini Mane,Civil,9876540031,1046,93.33333333333333,74.88,3,75.15333333333332,75.71666666666667,73.77,150000,150000,Paid,34,75,"Exhausted attempts for at least one subject, Attempts limit reached for at least one subject, Overdue fees (31-90 days)",Amber
2032,William Sawhney,Electronics,9876540032,1022,95.55555555555556,71.50222222222222,3,78.28666666666666,59.75666666666667,76.46333333333332,150000,150000,Paid,63,75,"Exhausted attempts for at least one subject, Attempts limit reached for at least one subject, Overdue fees (31-90 days)",Amber
2033,Ira Vig,Electrical,9876540033,1012,94.44444444444444,72.79444444444444,3,66.97666666666667,79.58999999999999,71.81666666666666,150000,150000,Paid,59,75,"Exhausted attempts for at least one subject, Attempts limit reached for at least one subject, Overdue fees (31-90 days)",Amber
2034,Ojasvi Dash,Civil,9876540034,1005,96.66666666666667,61.592222222222226,3,73.83,76.78666666666668,34.160000000000004,150000,150000,Paid,57,75,"Exhausted attempts for at least one subject, Attempts limit reached for at least one subject, Overdue fees (31-90 days)",Amber
2035,Hemani Bhalla,Mechanical,9876540035,1015,97.77777777777777,61.92444444444445,3,79.14999999999999,40.63,65.99333333333333,150000,150000,Paid,57,75,"Exhausted attempts for at least one subject, Attempts limit reached for at least one subject, Overdue fees (31-90 days)",Amber
2036,Wazir Wason,Mechanical,9876540036,1047,92.22222222222223,86.27888888888889,3,83.86333333333333,87.02999999999999,87.94333333333333,150000,150000,Paid,70,75,"Exhausted attempts for at least one subject, Attempts limit reached for at least one subject, Overdue fees (31-90 days)",Amber
2037,Lakshit Sangha,Mechanical,9876540037,1041,87.77777777777777,60.6311111111111,3,37.76,71.74,72.39333333333333,150000,150000,Paid,15,60,"Exhausted attempts for at least one subject, Attempts limit reached for at least one subject, Overdue fees (1-30 days)",Amber
2038,George Misra,Mechanical,9876540038,1025,97.77777777777777,74.77333333333334,3,70.40666666666667,82.26333333333334,71.64999999999999,150000,150000,Paid,22,60,"Exhausted attempts for at least one subject, Attempts limit reached for at least one subject, Overdue fees (1-30 days)",Amber
2039,Advay Thakkar,Civil,9876540039,1015,95.55555555555556,65.44777777777777,3,76.98666666666666,38.32333333333333,81.03333333333333,150000,150000,Paid,56,75,"Exhausted attempts for at least one subject, Attempts limit reached for at least one subject, Overdue fees (31-90 days)",Amber
2040,Zaitra Korpal,Computer Science,9876540040,1014,94.44444444444444,75.72222222222223,3,77.7,76.08999999999999,73.37666666666667,150000,150000,Paid,40,75,"Exhausted attempts for at least one subject, Attempts limit reached for at least one subject, Overdue fees (31-90 days)",Amber
2041,Ekansh Pathak,Mechanical,9876540041,1000,97.77777777777777,78.22444444444444,3,81.33999999999999,76.73666666666666,76.59666666666668,150000,150000,Paid,38,75,"Exhausted attempts for at least one subject, Attempts limit reached for at least one subject, Overdue fees (31-90 days)",Amber
2042,Divya Sarna,Civil,9876540042,1009,96.66666666666667,82.76333333333334,3,82.16000000000001,89.25999999999999,76.87,150000,150000,Paid,42,75,"Exhausted attempts for at least one subject, Attempts limit reached for at least one subject, Overdue fees (31-90 days)",Amber
2043,Zaitra Mammen,Mechanical,9876540043,1034,93.33333333333333,72.4488888888889,3,70.68666666666667,75.65333333333334,71.00666666666667,150000,150000,Paid,33,75,"Exhausted attempts for at least one subject, Attempts limit reached for at least one subject, Overdue fees (31-90 days)",Amber
2044,Sai Luthra,Electronics,9876540044,1030,92.22222222222223,80.01666666666667,3,81.11333333333333,81.42666666666666,77.51,150000,150000,Paid,53,75,"Exhausted attempts for at least one subject, Attempts limit reached for at least one subject, Overdue fees (31-90 days)",Amber
2045,Ubika Rajagopalan,Civil,9876540045,1005,96.66666666666667,75.58222222222223,3,77.56,74.36666666666666,74.82,150000,150000,Paid,48,75,"Exhausted attempts for at least one subject, Attempts limit reached for at least one subject, Overdue fees (31-90 days)",Amber
2046,Aachal Iyengar,Mechanical,9876540046,1035,97.77777777777777,59.660000000000004,3,42.06333333333333,75.56,61.35666666666666,150000,25241,Partial,123,100,"Overall Avg Score 59.66% (50-60%), Exhausted attempts for at least one subject, Attempts limit reached for at least one subject, Overdue fees (>90 days)",Red
2047,Oliver Dhawan,Computer Science,9876540047,1039,91.11111111111111,75.58777777777777,3,75.63333333333333,74.96666666666665,76.16333333333334,150000,150000,Paid,73,75,"Exhausted attempts for at least one subject, Attempts limit reached for at least one subject, Overdue fees (31-90 days)",Amber
2048,Vasatika Kapoor,Computer Science,9876540048,1008,94.44444444444444,67.28333333333333,3,78.93333333333334,38.343333333333334,84.57333333333332,150000,150000,Paid,41,75,"Exhausted attempts for at least one subject, Attempts limit reached for at least one subject, Overdue fees (31-90 days)",Amber
2049,Priya Manda,Mechanical,9876540049,1016,95.55555555555556,82.72888888888889,3,84.66,83.96666666666667,79.56,150000,150000,Paid,25,60,"Exhausted attempts for at least one subject, Attempts limit reached for at least one subject, Overdue fees (1-30 days)",Amber
2050,Samarth Sethi,Computer Science,9876540050,1039,96.66666666666667,81.31888888888889,3,82.45666666666666,82.27666666666667,79.22333333333334,150000,150000,Paid,58,75,"Exhausted attempts for at least one subject, Attempts limit reached for at least one subject, Overdue fees (31-90 days)",Amber
2051,Ishwar Chadha,Electronics,9876540051,1045,97.77777777777777,74.34777777777778,3,77.63333333333334,64.18333333333334,81.22666666666667,150000,150000,Paid,54,75,"Exhausted attempts for at least one subject, Attempts limit reached for at least one subject, Overdue fees (31-90 days)",Amber
2052,Balhaar Choudhury,Computer Science,9876540052,1042,92.22222222222223,64.34333333333333,3,30.296666666666667,80.47333333333334,82.26,150000,150000,Paid,18,60,"Exhausted attempts for at least one subject, Attempts limit reached for at least one subject, Overdue fees (1-30 days)",Amber
2053,Jeremiah Srinivasan,Mechanical,9876540053,1036,94.44444444444444,62.82444444444444,3,34.51,85.99000000000001,67.97333333333334,150000,150000,Paid,67,75,"Exhausted attempts for at least one subject, Attempts limit reached for at least one subject, Overdue fees (31-90 days)",Amber
2054,Watika Jayaraman,Mechanical,9876540054,1040,96.66666666666667,79.35888888888888,3,85.74000000000001,73.77333333333333,78.56333333333333,150000,150000,Paid,48,75,"Exhausted attempts for at least one subject, Attempts limit reached for at least one subject, Overdue fees (31-90 days)",Amber
2055,Aadi Dhawan,Mechanical,9876540055,1028,94.44444444444444,59.93111111111111,3,37.01,63.05666666666667,79.72666666666667,150000,150000,Paid,46,85,"Overall Avg Score 59.93% (50-60%), Exhausted attempts for at least one subject, Attempts limit reached for at least one subject, Overdue fees (31-90 days)",Amber
2056,Abeer Varkey,Electrical,9876540056,1036,93.33333333333333,79.46555555555557,3,85.49666666666667,74.15666666666667,78.74333333333334,150000,150000,Paid,32,75,"Exhausted attempts for at least one subject, Attempts limit reached for at least one subject, Overdue fees (31-90 days)",Amber
2057,Bishakha Rattan,Mechanical,9876540057,1003,92.22222222222223,83.63666666666667,3,84.25333333333333,84.58,82.07666666666667,150000,150000,Paid,19,60,"Exhausted attempts for at least one subject, Attempts limit reached for at least one subject, Overdue fees (1-30 days)",Amber
2058,Hardik Muni,Mechanical,9876540058,1041,95.55555555555556,77.61666666666666,3,82.52,74.83999999999999,75.49000000000001,150000,150000,Paid,32,75,"Exhausted attempts for at least one subject, Attempts limit reached for at least one subject, Overdue fees (31-90 days)",Amber
2059,Chaaya Pau,Electrical,9876540059,1018,95.55555555555556,76.26666666666667,3,82.30333333333334,76.20666666666666,70.29,150000,150000,Paid,21,60,"Exhausted attempts for at least one subject, Attempts limit reached for at least one subject, Overdue fees (1-30 days)",Amber
2060,Yashica Krishna,Electronics,9876540060,1044,92.22222222222223,85.67666666666668,3,82.08,89.50333333333333,85.44666666666667,150000,150000,Paid,23,60,"Exhausted attempts for at least one subject, Attempts limit reached for at least one subject, Overdue fees (1-30 days)",Amber
2061,Prisha Guha,Mechanical,9876540061,1015,93.33333333333333,61.69222222222223,3,38.343333333333334,73.44666666666667,73.28666666666668,150000,150000,Paid,54,75,"Exhausted attempts for at least one subject, Attempts limit reached for at least one subject, Overdue fees (31-90 days)",Amber
2062,Jeet Bassi,Civil,9876540062,1008,94.44444444444444,71.28,3,68.83666666666666,61.99,83.01333333333334,150000,150000,Paid,62,75,"Exhausted attempts for at least one subject, Attempts limit reached for at least one subject, Overdue fees (31-90 days)",Amber
2063,Jeet Luthra,Electrical,9876540063,1046,92.22222222222223,79.03222222222222,3,87.89999999999999,74.29,74.90666666666667,150000,150000,Paid,36,75,"Exhausted attempts for at least one subject, Attempts limit reached for at least one subject, Overdue fees (31-90 days)",Amber
2064,Balendra Mane,Computer Science,9876540064,1004,92.22222222222223,74.13888888888889,3,75.57666666666667,76.22666666666667,70.61333333333333,150000,45810,Partial,184,90,"Exhausted attempts for at least one subject, Attempts limit reached for at least one subject, Overdue fees (>90 days)",Amber
2065,Arjun Setty,Electronics,9876540065,1019,95.55555555555556,77.20666666666666,3,82.87333333333333,71.57333333333334,77.17333333333333,150000,150000,Paid,35,75,"Exhausted attempts for at least one subject, Attempts limit reached for at least one subject, Overdue fees (31-90 days)",Amber
2066,Meera Dhawan,Civil,9876540066,1026,91.11111111111111,80.13222222222223,3,78.43666666666667,74.89666666666666,87.06333333333333,150000,150000,Paid,16,60,"Exhausted attempts for at least one subject, Attempts limit reached for at least one subject, Overdue fees (1-30 days)",Amber
2067,Ayush Grover,Mechanical,9876540067,1036,92.22222222222223,85.19333333333333,3,84.14,87.31,84.13,150000,150000,Paid,26,60,"Exhausted attempts for at least one subject, Attempts limit reached for at least one subject, Overdue fees (1-30 days)",Amber
2068,Chandran Krishna,Computer Science,9876540068,1003,100.0,65.99666666666667,3,78.64,44.49666666666667,74.85333333333334,150000,130556,Partial,77,75,"Exhausted attempts for at least one subject, Attempts limit reached for at least one subject, Overdue fees (31-90 days)",Amber
2069,Ekaja Gour,Computer Science,9876540069,1010,98.88888888888889,78.35777777777778,3,79.08333333333333,84.06,71.93,150000,150000,Paid,34,75,"Exhausted attempts for at least one subject, Attempts limit reached for at least one subject, Overdue fees (31-90 days)",Amber
2070,Urvi Kade,Computer Science,9876540070,1034,93.33333333333333,68.92666666666668,3,79.17333333333333,55.663333333333334,71.94333333333333,150000,150000,Paid,41,75,"Exhausted attempts for at least one subject, Attempts limit reached for at least one subject, Overdue fees (31-90 days)",Amber
2071,Inaya Doctor,Electrical,9876540071,1038,75.55555555555556,48.196666666666665,3,36.96,70.72,36.91,150000,150000,Paid,50,110,"Attendance 75.56% (70-85), Overall Avg Score 48.20% (35-50%), Exhausted attempts for at least one subject, Attempts limit reached for at least one subject, Overdue fees (31-90 days)",Red
2072,Krishna Bobal,Civil,9876540072,1020,97.77777777777777,72.36777777777777,3,79.30666666666667,77.42666666666666,60.370000000000005,150000,66555,Partial,192,90,"Exhausted attempts for at least one subject, Attempts limit reached for at least one subject, Overdue fees (>90 days)",Amber
2073,Pushti Iyer,Electrical,9876540073,1002,97.77777777777777,74.79,3,84.67666666666666,69.52333333333333,70.17,150000,150000,Paid,52,75,"Exhausted attempts for at least one subject, Attempts limit reached for at least one subject, Overdue fees (31-90 days)",Amber
2074,Sanya Pandey,Electronics,9876540074,1017,95.55555555555556,83.9511111111111,3,90.19666666666667,77.41666666666667,84.24,150000,150000,Paid,41,75,"Exhausted attempts for at least one subject, Attempts limit reached for at least one subject, Overdue fees (31-90 days)",Amber
2075,Bhavani Goel,Electrical,9876540075,1048,98.88888888888889,71.12111111111112,3,81.37666666666667,76.08333333333333,55.903333333333336,150000,150000,Paid,47,75,"Exhausted attempts for at least one subject, Attempts limit reached for at least one subject, Overdue fees (31-90 days)",Amber
2076,Warinder Naik,Electronics,9876540076,1047,100.0,77.57222222222222,3,74.14666666666666,74.08666666666666,84.48333333333333,150000,150000,Paid,63,75,"Exhausted attempts for at least one subject, Attempts limit reached for at least one subject, Overdue fees (31-90 days)",Amber
2077,Anmol Barman,Mechanical,9876540077,1041,95.55555555555556,75.07555555555555,3,73.37333333333333,75.65333333333334,76.2,150000,0,Overdue,50,75,"Exhausted attempts for at least one subject, Attempts limit reached for at least one subject, Overdue fees (31-90 days)",Amber
2078,Vamakshi Pai,Mechanical,9876540078,1001,94.44444444444444,68.36333333333333,3,79.88333333333333,71.61333333333333,53.593333333333334,150000,150000,Paid,24,60,"Exhausted attempts for at least one subject, Attempts limit reached for at least one subject, Overdue fees (1-30 days)",Amber
2079,Ekani Dubey,Electronics,9876540079,1008,91.11111111111111,80.00111111111111,3,79.08333333333333,82.26333333333334,78.65666666666667,150000,150000,Paid,53,75,"Exhausted attempts for at least one subject, Attempts limit reached for at least one subject, Overdue fees (31-90 days)",Amber
2080,Daniel Sethi,Computer Science,9876540080,1005,96.66666666666667,76.73777777777778,3,78.28333333333333,74.13666666666666,77.79333333333334,150000,150000,Paid,58,75,"Exhausted attempts for at least one subject, Attempts limit reached for at least one subject, Overdue fees (31-90 days)",Amber
2081,Gaurangi Buch,Electronics,9876540081,1013,92.22222222222223,61.278888888888886,3,35.053333333333335,76.29333333333334,72.49,150000,150000,Paid,42,75,"Exhausted attempts for at least one subject, Attempts limit reached for at least one subject, Overdue fees (31-90 days)",Amber
2082,Guneet Dani,Electronics,9876540082,1034,96.66666666666667,78.49777777777778,3,78.10666666666667,73.74,83.64666666666666,150000,150000,Paid,36,75,"Exhausted attempts for at least one subject, Attempts limit reached for at least one subject, Overdue fees (31-90 days)",Amber
2083,Tanmayi Sinha,Electronics,9876540083,1029,93.33333333333333,67.76666666666667,3,83.22000000000001,29.773333333333337,90.30666666666666,150000,150000,Paid,42,75,"Exhausted attempts for at least one subject, Attempts limit reached for at least one subject, Overdue fees (31-90 days)",Amber
2084,Indira Chaudhry,Electronics,9876540084,1030,94.44444444444444,81.45222222222223,3,76.84,91.07333333333334,76.44333333333333,150000,150000,Paid,64,75,"Exhausted attempts for at least one subject, Attempts limit reached for at least one subject, Overdue fees (31-90 days)",Amber
2085,Yashvi Vohra,Civil,9876540085,1022,67.77777777777779,76.16111111111111,3,85.40333333333335,77.29333333333334,65.78666666666668,150000,150000,Paid,48,100,"Attendance 67.78% (50-70), Exhausted attempts for at least one subject, Attempts limit reached for at least one subject, Overdue fees (31-90 days)",Red
2086,Brijesh Lata,Electrical,9876540086,1043,94.44444444444444,69.42666666666668,3,60.163333333333334,73.38333333333334,74.73333333333333,150000,150000,Paid,45,75,"Exhausted attempts for at least one subject, Attempts limit reached for at least one subject, Overdue fees (31-90 days)",Amber
2087,Rajata Das,Mechanical,9876540087,1003,97.77777777777777,77.67,3,80.04,80.66666666666667,72.30333333333333,150000,150000,Paid,28,60,"Exhausted attempts for at least one subject, Attempts limit reached for at least one subject, Overdue fees (1-30 days)",Amber
2088,Harrison Narain,Civil,9876540088,1021,95.55555555555556,81.96444444444444,3,81.21333333333332,91.29666666666667,73.38333333333333,150000,150000,Paid,71,75,"Exhausted attempts for at least one subject, Attempts limit reached for at least one subject, Overdue fees (31-90 days)",Amber
2089,Wishi Jhaveri,Computer Science,9876540089,1010,81.11111111111111,62.14777777777778,3,79.10333333333334,70.35333333333334,36.98666666666667,150000,150000,Paid,53,85,"Attendance 81.11% (70-85), Exhausted attempts for at least one subject, Attempts limit reached for at least one subject, Overdue fees (31-90 days)",Amber
2090,Vansha Dora,Mechanical,9876540090,1006,95.55555555555556,82.72444444444444,3,88.75999999999999,83.24666666666667,76.16666666666667,150000,150000,Paid,65,75,"Exhausted attempts for at least one subject, Attempts limit reached for at least one subject, Overdue fees (31-90 days)",Amber
2091,Kamala Sarma,Electronics,9876540091,1019,97.77777777777777,60.44888888888889,3,74.00333333333333,32.300000000000004,75.04333333333334,150000,150000,Paid,62,75,"Exhausted attempts for at least one subject, Attempts limit reached for at least one subject, Overdue fees (31-90 days)",Amber
2092,Madhav Das,Electrical,9876540092,1049,93.33333333333333,71.13777777777779,3,80.15666666666667,59.96,73.29666666666667,150000,150000,Paid,67,75,"Exhausted attempts for at least one subject, Attempts limit reached for at least one subject, Overdue fees (31-90 days)",Amber
2093,Chatresh Buch,Electrical,9876540093,1003,96.66666666666667,57.08555555555555,3,22.936666666666667,76.73,71.58999999999999,150000,150000,Paid,16,70,"Overall Avg Score 57.09% (50-60%), Exhausted attempts for at least one subject, Attempts limit reached for at least one subject, Overdue fees (1-30 days)",Amber
2094,Tanish Samra,Mechanical,9876540094,1016,93.33333333333333,76.49333333333334,3,70.20666666666666,79.71333333333332,79.56,150000,150000,Paid,73,75,"Exhausted attempts for at least one subject, Attempts limit reached for at least one subject, Overdue fees (31-90 days)",Amber
2095,Krish Char,Computer Science,9876540095,1004,93.33333333333333,62.66777777777778,3,77.14,33.23,77.63333333333333,150000,150000,Paid,69,75,"Exhausted attempts for at least one subject, Attempts limit reached for at least one subject, Overdue fees (31-90 days)",Amber
2096,Wriddhish Khatri,Civil,9876540096,1031,92.22222222222223,80.7188888888889,3,86.68333333333334,65.33333333333333,90.13999999999999,150000,150000,Paid,28,60,"Exhausted attempts for at least one subject, Attempts limit reached for at least one subject, Overdue fees (1-30 days)",Amber
2097,Sai Sandhu,Mechanical,9876540097,1008,86.66666666666667,66.23555555555555,3,77.28333333333333,76.33333333333333,45.089999999999996,150000,150000,Paid,50,75,"Exhausted attempts for at least one subject, Attempts limit reached for at least one subject, Overdue fees (31-90 days)",Amber
2098,Pranit Sethi,Mechanical,9876540098,1018,91.11111111111111,79.9088888888889,3,87.16333333333334,82.00333333333333,70.56,150000,150000,Paid,65,75,"Exhausted attempts for at least one subject, Attempts limit reached for at least one subject, Overdue fees (31-90 days)",Amber
2099,Hiral Baral,Computer Science,9876540099,1010,96.66666666666667,78.22222222222223,3,78.98333333333333,78.81333333333333,76.87,150000,150000,Paid,29,60,"Exhausted attempts for at least one subject, Attempts limit reached for at least one subject, Overdue fees (1-30 days)",Amber
2100,Tripti Magar,Electronics,9876540100,1035,74.44444444444444,73.61555555555555,3,60.45666666666667,82.18666666666667,78.20333333333333,150000,0,Overdue,92,100,"Attendance 74.44% (70-85), Exhausted attempts for at least one subject, Attempts limit reached for at least one subject, Overdue fees (>90 days)",Red
2101,Chaman Sachar,Computer Science,9876540101,1012,93.33333333333333,80.1288888888889,3,76.26333333333334,79.05666666666667,85.06666666666666,150000,150000,Paid,25,60,"Exhausted attempts for at least one subject, Attempts limit reached for at least one subject, Overdue fees (1-30 days)",Amber
2102,Daksh Chandra,Civil,9876540102,1047,93.33333333333333,79.05111111111111,3,87.79666666666667,81.99666666666667,67.36,150000,150000,Paid,63,75,"Exhausted attempts for at least one subject, Attempts limit reached for at least one subject, Overdue fees (31-90 days)",Amber
2103,Eta Dhar,Computer Science,9876540103,1016,94.44444444444444,76.3411111111111,3,75.34666666666666,71.31,82.36666666666666,150000,0,Overdue,123,90,"Exhausted attempts for at least one subject, Attempts limit reached for at least one subject, Overdue fees (>90 days)",Amber
2104,Samarth Handa,Electrical,9876540104,1012,97.77777777777777,76.24111111111111,3,82.48666666666666,74.82666666666667,71.41,150000,150000,Paid,44,75,"Exhausted attempts for at least one subject, Attempts limit reached for at least one subject, Overdue fees (31-90 days)",Amber
2105,Jatin Gill,Electrical,9876540105,1049,98.88888888888889,72.88555555555556,3,65.65666666666667,74.08666666666666,78.91333333333334,150000,150000,Paid,62,75,"Exhausted attempts for at least one subject, Attempts limit reached for at least one subject, Overdue fees (31-90 days)",Amber
